FirstName;LastName;Username;UPN;OU;Group;StudentID;ProgramTrack
Tariro;Ndlovu;tariro.ndlovu;tariro.ndlovu@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026001;GG-BlueTeam
Blessing;Mlambo;blessing.mlambo;blessing.mlambo@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026002;GG-RedTeam
Rudo;Gumbo;rudo.gumbo;rudo.gumbo@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026003;GG-GRC
Ashley;Maregere;ashley.maregere;ashley.maregere@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026004;GG-BlueTeam
Tanaka;Mushonga;tanaka.mushonga;tanaka.mushonga@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026005;GG-GRC
Nomsa;Chikore;nomsa.chikore;nomsa.chikore@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026006;GG-RedTeam
Kundai;Maphosa;kundai.maphosa;kundai.maphosa@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026007;GG-BlueTeam
Nyasha;Muchengeti;nyasha.muchengeti;nyasha.muchengeti@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026008;GG-RedTeam
Chiedza;Madziva;chiedza.madziva;chiedza.madziva@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026009;GG-GRC
Tatenda;Mutasa;tatenda.mutasa;tatenda.mutasa@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026010;GG-BlueTeam
Rutendo;Zhou;rutendo.zhou;rutendo.zhou@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026011;GG-GRC
Tendai;Nyoni;tendai.nyoni;tendai.nyoni@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026012;GG-RedTeam
Simba;Banda;simba.banda;simba.banda@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026013;GG-BlueTeam
Farai;Kaseke;farai.kaseke;farai.kaseke@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026014;GG-RedTeam
Anesu;Moyo;anesu.moyo;anesu.moyo@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026015;GG-GRC
Munashe;Ncube;munashe.ncube;munashe.ncube@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026016;GG-BlueTeam
Tafadzwa;Sibanda;tafadzwa.sibanda;tafadzwa.sibanda@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026017;GG-GRC
Michelle;Dube;michelle.dube;michelle.dube@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026018;GG-RedTeam
Lynette;Chirwa;lynette.chirwa;lynette.chirwa@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026019;GG-BlueTeam
Vimbai;Mpofu;vimbai.mpofu;vimbai.mpofu@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026020;GG-RedTeam
Tariro;Ndlovu;tariro.ndlovu2;tariro.ndlovu2@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026021;GG-GRC
Blessing;Mlambo;blessing.mlambo2;blessing.mlambo2@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026022;GG-BlueTeam
Rudo;Gumbo;rudo.gumbo2;rudo.gumbo2@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026023;GG-GRC
Ashley;Maregere;ashley.maregere2;ashley.maregere2@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026024;GG-RedTeam
Tanaka;Mushonga;tanaka.mushonga2;tanaka.mushonga2@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026025;GG-BlueTeam
Nomsa;Chikore;nomsa.chikore2;nomsa.chikore2@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026026;GG-RedTeam
Kundai;Maphosa;kundai.maphosa2;kundai.maphosa2@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026027;GG-GRC
Nyasha;Muchengeti;nyasha.muchengeti2;nyasha.muchengeti2@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026028;GG-BlueTeam
Chiedza;Madziva;chiedza.madziva2;chiedza.madziva2@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026029;GG-GRC
Tatenda;Mutasa;tatenda.mutasa2;tatenda.mutasa2@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026030;GG-RedTeam
Rutendo;Zhou;rutendo.zhou2;rutendo.zhou2@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026031;GG-BlueTeam
